Headlines,Fecha,traduccion
BBVA moviliza a sus accionistas para que apoyen la opa por Sabadell,2024-06-07,BBVA mobilizes its shareholders to support the opa for Sabadell
¿Puede Sabadell forzar la política de dividendo en efectivo este año?,2024-06-07,Can Sabadell force the dividend policy into cash this year?
Bancos al alza y endeudadas a la baja en Bolsa,2024-06-07,Banks up and down debt on the Stock Exchange
"La Primera de Expansión sobre la bajada de tipos de interés, Idealista, BBVA, Nvidia y Jamie Dimon",2024-06-06,"The First Expansion on the downfall of interest rates, Idealist, BBVA, Nvidia and Jamie Dimon"
"Sabadell aportaría a BBVA las pensiones de Coca-Cola, Grifols, Airbnb y el Barça",2024-06-06,"Sabadell would contribute to BBVA the pensions of Coca-Cola, Grifols, Airbnb and Barça"
Sabadell da una probabilidad del 27% de que salga adelante la opa de BBVA,2024-06-05,Sabadell gives a 27% probability that BBVA’s opa will succeed
BBVA dice que con más tamaño se pueden ofrecer mejores precios a los clientes,2024-06-05,BBVA says that with more size you can offer better prices to customers
"La Primera de Expansión sobre los resultados de Inditex, BCE, Sabadell, Gazprom y el anime",2024-06-05,"The First Expansion on the Results of Inditex, ECB, Sabadell, Gazprom and Anime"
Los fondos arbitrajistas empiezan a tomar posiciones en Sabadell para la opa,2024-06-05,The arbitrage funds begin to take positions in Sabadell for the opa
BBVA sale de las carteras de favoritos de Bankinter por la opa y México,2024-06-05,BBVA exits Bankinter’s favorite portfolios for the Opa and Mexico
Baile de fondos en Sabadell: la estrategia de las grandes gestoras,2024-06-05,Dance of funds in Sabadell: the strategy of the big managers
No hay que descartar las posibilidades de éxito de la opa de BBVA sobre Sabadell,2024-06-04,The chances of success of BBVA’s opa about Sabadell should not be ruled out.
El castigo a la banca se lleva los 11.300 puntos del Ibex,2024-06-04,"The penalty to the bench takes the 11,300 points of the Ibex"
BBVA amplía sus caídas con México de fondo y arrastra a Sabadell,2024-06-04,BBVA expands its falls with Mexico bottom and drags Sabadell
"La Primera de Expansión sobre BBVA, Sabadell, Hacienda, KKR y Cellnex",2024-06-04,"The First Expansion on BBVA, Sabadell, Hacienda, KKR and Cellnex"
BBVA y Sabadell eligen a 15 banqueros de inversión clave en la opa,2024-06-04,BBVA and Sabadell elect 15 key investment bankers in the Opa
Sabadell y Bankinter confían en que el crédito crezca este año,2024-06-04,Sabadell and Bankinter trust that credit will grow this year
El presidente de BBVA viaja a Barcelona para limar asperezas ante la opa al Sabadell,2024-06-03,BBVA’s president travels to Barcelona to clean up roughnesses in front of the taba al Sabadell
Se acerca el momento ideal para la consolidación de la banca italiana,2024-06-03,The ideal moment for the consolidation of the Italian bank is near
BBVA pide a la CNMC autorización para lanzar la opa sobre Sabadell,2024-06-03,BBVA asks CNMC permission to launch the opa on Sabadell
"El Ibex cierra al filo de los 11.400 puntos, en máximos desde 2015",2024-06-03,"The Ibex closes at the edge of 11,400 points, in maximum since 2015"
"BlackRock sube su participación en Sabadell a un máximo del 6,2% en plena opa de BBVA",2024-06-03,BlackRock raises its share in Sabadell to a maximum of 6.2% in the middle of BBVA
Los fondos cazaopas deciden mañana el final de la dramática batalla por el control de Applus,2024-06-03,The scout funds decide tomorrow the end of the dramatic battle for control of Applus
El 'caso Villarejo' irrumpe en la opa hostil de BBVA a Sabadell,2024-06-03,The 'Villarejo case' breaks into BBVA's hostile opa to Sabadell
La CNMV admitirá a trámite el folleto de la opa de BBVA sobre Sabadell la próxima semana,2024-06-01,CNMV will accept next week’s BBVA opa brochure on Sabadell
Junta de BBVA: ¿les falta información a los accionistas para decidir?,2024-06-01,BBVA Board: lack of information for shareholders to decide?
Cinco valores del Ibex se disparan más del 12% en el último mes,2024-06-01,Five values of the Ibex skyrocket more than 12% in the last month
"Bank of America ve a Sabadell como el banco ""más resiliente"" de España",2024-06-01,"Bank of America sees Sabadell as the ""most resilient"" bank in Spain"
JPMorgan nombra nuevo responsable de M&A en España,2024-05-31,JPMorgan appoints new M&A head in Spain
"La Primera de Expansión sobre Aena, Ferrovial, Trump, BBVA, Criteria Caixa, Google y Aramco",2024-05-31,"The First Expansion on Aena, Ferrovial, Trump, BBVA, Criteria Caixa, Google and Aramco"
BBVA convoca una Junta General para ampliar capital y avanzar en la oferta de compra de Banco Sabadell,2024-05-31,BBVA convenes a General Meeting to expand capital and advance the purchase offer of Banco Sabadell
El coste de la fusión BBVA/Sabadell podría superar los 2.400 millones,2024-05-31,The cost of the BBVA/Sabadell merger could exceed 2.4 billion
BBVA y Sabadell aprueban el examen del mercado de deuda,2024-05-31,BBVA and Sabadell approve of debt market review
Sabadell sube un 2% en Bolsa y alcanza su nivel más alto desde 2015,2024-05-30,Sabadell rises 2% in Stock Exchange and reaches its highest level since 2015
BBVA solo paga un 54% más por Sabadell que hace tres años y medio,2024-05-30,BBVA only pays 54% more for Sabadell than three and a half years ago
Las 5 noticias clave del día para el inversor,2024-05-30,The 5 Key News of the Day for the Investor
BBVA aplica un ajuste contable de 2.000 millones a los activos de Sabadell,2024-05-30,BBVA applies an accounting adjustment of 2 billion to Sabadell's assets
"Fitch: ""No hay certeza de que la opa de BBVA sea aceptada por los accionistas de Sabadell""",2024-05-29,"Fitch: ""There is no certainty that BBVA's opa will be accepted by Sabadell's shareholders"""
La banca doméstica despunta en Bolsa tras la ofensiva por Sabadell,2024-05-29,Domestic banking scores on the stock market after Sabadell’s offensive
"Oliu asegura a los accionistas que la opa de BBVA infravalora ""significativamente"" a Sabadell",2024-05-28,"Oliu assures shareholders that BBVA's opa ""significantly"" undervalues Sabadell"
"Sabadell, en máximos desde la opa, roza ya el techo previsto por los analistas",2024-05-28,"Sabadell, in maximums from the opa, already crosses the ceiling previewed by the analysts"
BBVA y Sabadell suman 1.300 millones de colchón extra de solvencia,2024-05-28,BBVA and Sabadell add 1.3 billion extra solvency buffer
"CaixaBank y Bankinter, los bancos mejor posicionados para ganar a costa de BBVA-Sabadell",2024-05-28,"CaixaBank and Bankinter, the best positioned banks to win at the expense of BBVA-Sabadell"
Las 5 noticias clave del día para el inversor,2024-05-27,The 5 Key News of the Day for the Investor
"La Primera de Expansión sobre Amazon, Google, BBVA, el sueldo de los banqueros y Zelenski",2024-05-27,"The First Expansion on Amazon, Google, BBVA, the salaries of bankers and Zelenski"
La opa pone en jaque los planes de financiación de BBVA y Sabadell,2024-05-27,Opa puts BBVA and Sabadell’s financing plans in check
El Gobierno no puede prohibir una operación de concentración aprobada por la CNMC,2024-05-27,Government cannot ban a concentration operation approved by CNMC
Así son los equipos jurídicos de BBVA y Sabadell que pilotan la opa,2024-05-27,This is how the legal teams of BBVA and Sabadell drive the opa
"BME encara la segunda mitad del año en un entorno ""muy positivo"" para el mercado con más salidas a Bolsa",2024-05-26,"BME faces the second half of the year in a ""very positive"" environment for the market with more stock market outlets"
Sabadell teme una fuga de talento y una parálisis del negocio por la opa de BBVA,2024-05-26,Sabadell fears a talent leak and business paralysis due to BBVA’s opa
No siente las piernas,2024-05-25,Don't feel your legs.
"Santander, Sabadell y Bankinter aceleran en la guerra hipotecaria",2024-05-25,"Santander, Sabadell and Bankinter accelerate in the mortgage war"
BBVA activa la opa sobre Sabadell: solicita autorización a la CNMV,2024-05-25,BBVA activates the opa on Sabadell: requests authorisation from CNMV
Guía para inversores y clientes de BBVA y Sabadell,2024-05-25,BBVA and Sabadell Investor and Customer Guide
Morningstar dice que si el Gobierno no autoriza la opa de BBVA perjudicaría la rentabilidad,2024-05-24,"Morningstar says if the government doesn't authorize BBVA's opa, it would damage profitability."
De Cos evita opinar sobre la opa al Sabadell ante los empresarios catalanes,2024-05-24,De Cos avoids commenting on the Opa al Sabadell before Catalan businessmen
Jefferies da por agotado el potencial de dos bancos del Ibex,2024-05-24,Jefferies gives up the potential of two banks in the Ibex
BlackRock cambia el paso en Banco Sabadell,2024-05-24,BlackRock changes step in Sabadell Bank
Santander apela a los grandes inversores para vender deuda a la carta,2024-05-24,Santander appeals to big investors to sell debt on demand
Competencia catalana rechaza la Opa hostil de BBVA a Sabadell,2024-05-23,Catalan Competition Rejects BBVA’s Hostile Opa to Sabadell
Botín se reúne con el consejo de Santander en Catalunya,2024-05-23,Botín meets with the Council of Santander in Catalonia
"Feijóo, sobre la opa: ""Mi partido en Cataluña está en contra; mi posición es la prudencia""",2024-05-23,"Feijóo, on the opa: ""My party in Catalonia is against; my position is prudence"""
Sabadell advierte del riesgo de pérdida de negocio y de altos ejecutivos por la opa de BBVA,2024-05-23,Sabadell warns of the risk of loss of business and senior executives by BBVA’s opa
"Cuerpo deja ""claro"" al empresariado catalán su ""rechazo"" a la OPA de BBVA al Sabadell",2024-05-23,"Body leaves ""clear"" to the Catalan entrepreneur his ""rejection"" to the OPA of BBVA al Sabadell"
"La Primera de Expansión sobre Onur Genc, Indra, Mayoral, Nvidia y OpenAI",2024-05-23,"The First Expansion on Onur Genc, Indra, Mayoral, Nvidia and OpenAI"
"Onur Genç: ""Cuando una oferta es atractiva, triunfa""",2024-05-23,"Onur Genç: ""When an offer is attractive, it succeeds"""
"Onur Genç: ""Confiamos en que el Gobierno acabe apreciando la fortaleza de la operación""",2024-05-23,"Onur Genç: ""We hope the government will end up appreciating the strength of the operation"""
Tres valores que lideran el rally del Ibex,2024-05-23,Three values leading the Ibex rally
"Onur Genç: ""El entorno empuja a la banca a necesitar una escala determinada para competir""",2024-05-23,"Onur Genç: ""The environment pushes banks to need a certain scale to compete"""
El ministro de Economía inicia un maratón bancario,2024-05-23,Economy Minister Begins Banking Marathon
Andrea Orcel respalda el llamamiento de Emmanuel Macron a cerrar acuerdos bancarios,2024-05-22,Andrea Orcel backs Emmanuel Macron's call to close banking deals
BBVA y Sabadell: llueven alzas de valoración con la opa,2024-05-22,BBVA and Sabadell: valuation rises rain with the opa
Por qué BBVA y Sabadell chocan en el coste de los ajustes de una fusión,2024-05-22,Why BBVA and Sabadell collide in the cost of merger adjustments
Carlos Cuerpo se reúne el día 29 con los bancos de la AEB,2024-05-22,Carlos Córdoba meets on the 29th with the banks of the AEB
El futuro de TSB con la opa de BBVA sobre Sabadell,2024-05-21,The future of TSB with the BBVA opa about Sabadell
N26 sube al 4% la remuneración de su cuenta premium,2024-05-21,N26 raises to 4% the remuneration of your premium account
Las 5 noticias clave del día para el inversor,2024-05-21,The 5 Key News of the Day for the Investor
Deutsche ve más potencial en el Ibex en BBVA que en Sabadell,2024-05-21,Deutsche sees more potential in Ibex in BBVA than in Sabadell
"CNMV: ""Vamos a asegurarnos de que la opa de BBVA llegue a los accionistas de Sabadell""",2024-05-21,"CNMV: ""Let's make sure BBVA's opa reaches Sabadell's shareholders"""
BBVA intensifica el foco en las pymes y regalará 720 euros,2024-05-21,BBVA intensifies focus on SMEs and will give away 720 euros
"La Primera de Expansión sobre Alsa, BBVA, Milei, Nintendo, Trump y Von der Leyen",2024-05-21,"The First Expansion on Alsa, BBVA, Milei, Nintendo, Trump and Von der Leyen"
BBVA estudia cómo rebajar el coste de romper las alianzas de Sabadell,2024-05-21,BBVA studies how to lower the cost of breaking Sabadell’s alliances
BBVA-Sabadell: la Fed y otros 16 reguladores examinarán la opa,2024-05-21,BBVA-Sabadell: the Fed and 16 other regulators will examine the opa
"El Ibex 35 sube el 4,47% este mes y enfila su mejor mayo desde 2007",2024-05-21,Ibex 35 rises 4.47% this month and ranks its best May since 2007
México estudia impuestos a la banca para aumentar la recaudación,2024-05-20,Mexico Studyes Banking Taxes to Increase Collections · Global Voices
La directriz alcista de BBVA que pasa por los 9 euros,2024-05-20,BBVA's bullish guideline that goes through the 9 euros
Vuelve el 'espíritu animal': España afronta el año con más opas desde la crisis financiera,2024-05-20,The 'animal spirit' returns: Spain faces the year with more opas since the financial crisis
Abanca y Bankinter esperan pescar en el río revuelto de la opa de BBVA por Sabadell,2024-05-20,Abanca and Bankinter expect to fish in the scrambled river of BBVA opa by Sabadell
Qué pueden esperar los accionistas de Sabadell y BBVA,2024-05-18,What shareholders of Sabadell and BBVA can expect
Las condiciones que impuso la CNMC para dar luz verde a la fusión CaixaBank-Bankia,2024-05-18,The conditions imposed by the CNMC to give green light to the CaixaBank-Bankia merger
Las razones a favor y en contra de que BBVA se quede con TSB,2024-05-18,The reasons for and against BBVA staying with TSB
BBVA y Sabadell crearían el gran banco con más capacidad de pagar dividendo,2024-05-18,BBVA and Sabadell would create the big bank with the most ability to pay dividend
"Los fondos agitan el capital de la banca, con Vanguard al frente",2024-05-18,"The funds stir up the capital of the bank, with Vanguard at the front"
"Economía dice que su análisis irá ""más allá"" de los organismos técnicos",2024-05-17,"Economy says its analysis will go ""beyond"" the technical bodies"
David Martínez apoyaría la opa de BBVA sobre Sabadell,2024-05-17,David Martinez would support BBVA's opa about Sabadell
"BBVA y Sabadell, Cirsa, Repsol y Enrico Letta: las mejores imágenes de la semana",2024-05-17,"BBVA and Sabadell, Cirsa, Repsol and Enrico Letta: the best images of the week"
El juego de algunos partidos políticos en la opa sobre Sabadell,2024-05-17,The game of some political parties in the opa about Sabadell
Cómo defender el no a la opa sin hablar de la opa,2024-05-17,How to defend the no to the opa without talking about the opa
BBVA vende 300 oficinas por 100 millones de euros,2024-05-16,BBVA sells 300 offices for 100 million euros
El Ibex hace un alto en su racha alcista en los 11.300 puntos,2024-05-16,"The Ibex stops on its bullish streak at 11,300 points"
"González-Bueno, sobre la opa: ""Se ha hecho sin negociaciones previas con Sabadell y con prisas""",2024-05-16,"González-Well, on the opa: ""It has been done without previous negotiations with Sabadell and in haste"""
Las 5 noticias clave del día para el inversor,2024-05-16,The 5 Key News of the Day for the Investor
JSS lanza una opa de 245 millones sobre la Socimi Árima,2024-05-16,JSS launches 245 million opa on Socimi Arima
"La Primera de Expansión sobre BBVA, Sabadell, Cirsa, Borrell, Gibraltar y Paramount",2024-05-16,"The First Expansion on BBVA, Sabadell, Cirsa, Borrell, Gibraltar and Paramount"
"BBVA y Sabadell, los bancos con más blindajes para directivos",2024-05-16,"BBVA and Sabadell, the banks with the most shields for managers"
Los retos que afronta Banco Sabadell en 2024,2024-05-16,The challenges facing Banco Sabadell in 2024
"Cani Fernández (Competencia): ""No necesariamente más entidades bancarias suponen más competencia""",2024-05-15,"Cani Fernández (Competition): ""No more banking institutions necessarily involve more competition"""
"BBVA y Sabadell: más concentración en Cataluña, Asturias y C. Valenciana",2024-05-15,"BBVA and Sabadell: more concentration in Catalonia, Asturias and Valencia"
Qué movimientos tiene prohibidos el banco opado,2024-05-15,What moves are prohibited by the Opposite Bank?
La banca gana atractivo entre grandes inversores con la opa de BBVA a Sabadell,2024-05-15,Banking gains attractiveness among big investors with BBVA’s bid to Sabadell
Cada vez más vigilancia de Hacienda: las claves fiscales de las fusiones y adquisiciones,2024-05-15,More and more Treasury surveillance: the tax keys to mergers and acquisitions
El Gobierno reitera sus tres argumentos contra la fusión BBVA-Sabadell,2024-05-15,The Government reiterates its three arguments against the BBVA-Sabadell merger
Los fondos cazaopas estudian entrar en Sabadell para ganar un 18% con la opa de BBVA,2024-05-14,The scouting funds study entering Sabadell to win 18% with BBVA’s opa
"La Primera de Expansión sobre BBVA, Sabadell las Big Four, el nuevo Chat GPT y Sony",2024-05-14,"The First Expansion on BBVA, Sabadell the Big Four, the new Chat GPT and Sony"
BBVA recurre a sus hombres de confianza de JPMorgan para su operación más polémica,2024-05-14,BBVA relies on its trusted men from JPMorgan for its most controversial operation
España tiene la mayor concentración bancaria de los grandes países del euro,2024-05-14,Spain has the largest banking concentration in the big euro countries
Sabadell suspende su programa de recompra de acciones por la opa de BBVA,2024-05-13,Sabadell suspends its stock buyback program for BBVA’s opa
"Cuerpo traslada al BCE sus ""preocupaciones"" ante la opa de BBVA sobre Sabadell",2024-05-13,"Body sends to the ECB its ""concerns"" before the opa of BBVA on Sabadell"
Las 5 noticias clave del día para el inversor,2024-05-13,The 5 Key News of the Day for the Investor
"La Primera de Expansión sobre las elecciones en Cataluña, opa de Taqa sobre Naturgy, Sabadell, BBVA y BNP Paribas",2024-05-13,"The First Expansion on elections in Catalonia, Taqa opa on Naturgy, Sabadell, BBVA and BNP Paribas"
"La independencia del BCE y la CNMC, clave en la opa de BBVA sobre Sabadell",2024-05-13,"The independence of the ECB and the CNMC, key to BBVA’s opa on Sabadell"
Opas hostiles: qué son y por qué resurgen ahora a España,2024-05-13,Hostile Voices: What They Are and Why They Resurrect Spain Now · Global Voices
"Las mujeres son el 23,7% de la alta dirección de la Bolsa",2024-05-13,Women make up 23.7% of the top management of the Stock Exchange
Diez retos para una nueva era económica y geopolítica,2024-05-12,Ten challenges for a new economic and geopolitical era
El Banco de España ultima la activación del colchón anticíclico para la banca,2024-05-12,Banco de España finalises the activation of the countercyclical buffer for banking
Los bancos europeos favoritos para invertir,2024-05-11,Favorite European banks to invest
Calendario de una operación que se alargará más de un año,2024-05-11,Schedule of an operation to be extended for more than one year
"Los accionistas minoritarios de NEM Sabadell llaman a ""resistir y no vender""",2024-05-11,"Nem Sabadell's minority shareholders call for ""resistance and no selling"""
BBVA niega el riesgo de concentración y prevé crecer en crédito,2024-05-11,BBVA denies concentration risk and plans to grow in credit
Insolencia,2024-05-11,Insolence
"Quién es David Martínez, el inversor estrella de Sabadell que puede ser clave en la opa de BBVA",2024-05-11,"Who is David Martinez, Sabadell’s star investor who can be key in BBVA’s opa"
"Los bancos españoles, con fuerza para subir más de un 10% en Bolsa",2024-05-11,"Spanish banks, strong enough to raise more than 10% on the Stock Exchange"
"La prima para los accionistasde Sabadell ya se reduce al 7,5%",2024-05-11,The premium for Sabadell’s shareholders is already reduced to 7.5%
La premura de BBVA y la rapidez de la toma de posición política y del Gobierno,2024-05-11,BBVA's haste and the speed of political and government decision-making
Cinco ofertas hostiles que triunfaron en banca,2024-05-11,Five hostile offers that triumphed in banking
"La opa acarrea una ""distracción"" para BBVA y Sabadell, según Fitch",2024-05-10,"Opa brings a ""distraction"" for BBVA and Sabadell, according to Fitch"
El fondo Axiom sale en defensa de la opa hostil de BBVA sobre Sabadell,2024-05-10,The Axiom fund comes out in defense of BBVA's hostile opa about Sabadell
"El Ibex supera los 11.100 puntos tras ganar en la semana un 2,3%",2024-05-10,"Ibex tops 11,100 points after winning 2.3% in the week"
La CNMV analiza la acusación de Sabadell a BBVA de vulnerar la ley de opas,2024-05-10,The CNMV analyzes Sabadell's accusation to BBVA of violating the law of opas
ESPECIAL | Escuche la entrevista completa con Carlos Cuerpo,2024-05-10,SPECIAL  Listen to the full interview with Carlos Córdoba
Las 5 noticias clave del día para los inversores,2024-05-10,The 5 Key News of the Day for Investors
"Rey Felipe VI, Real Madrid, OTIS y Sabadell con BBVA: las mejores imágenes de la semana",2024-05-10,"Rey Felipe VI, Real Madrid, OTIS and Sabadell with BBVA: the best images of the week"
"Carlos Torres, el banquero del BBVA con una idea fija",2024-05-10,"Carlos Torres, the banker of BBVA with a fixed idea"
"La Primera de Expansión sobre Sabadell ante la opa de BBVA, Ferrovial, Cuerpo, Aznar y Albares en el V Foro Internacional de Expansión",2024-05-10,"The First Expansion on Sabadell to the Opa of BBVA, Ferrovial, Body, Aznar and Albares at the 5th International Expansion Forum"
Sabadell busca las grietas para hacer fracasar la opa,2024-05-10,Sabadell looks for cracks to make the opa fail
BBVA-Sabadell: los inversores financieros muestran interés por acudir a la opa,2024-05-10,BBVA-Sabadell: financial investors show interest in going to the Opa
Los analistas solo ven válida una oferta con efectivo,2024-05-10,Analysts see only one cash offer as valid
La hostilidad endurece la posición del Gobierno,2024-05-10,Hostileness hardens the position of the Government
BBVA y Sabadell: un grupo con un billón de euros en activos y cuotas de hasta un 30%,2024-05-10,BBVA and Sabadell: a group with a billion euros in assets and quotas of up to 30%
Guía para entender los puntos cruciales de esta operación,2024-05-10,Guide to understanding the crucial points of this operation
BBVA incluye en el precio de su opa la ruptura del pacto Sabadell-Zurich,2024-05-10,BBVA includes in the price of its opa the rupture of the Sabadell-Zurich pact
El BCE no pondrá trabas a la opa hostil de BBVA,2024-05-10,ECB will not obstruct BBVA’s hostile opa
Banco Sabadell asegura que la información de BBVA vulnera la ley de opas,2024-05-09,Banco Sabadell assures that BBVA's information violates the law of opas
"Opa BBVA-Sabadell: el PP asegura que ""respeta"" los acuerdos de las empresas privadas",2024-05-09,"Opa BBVA-Sabadell: the PP ensures that it ""respects"" the agreements of private companies"
Citi saca a BBVA de su lista de valores favoritos de Europa por la incierta opa sobre Sabadell,2024-05-09,Citi pulls BBVA out of Europe's list of favorite values because of the uncertain opa about Sabadell
La banca reclama menos regulación para poder competir mejor,2024-05-09,Banking calls for less regulation in order to compete better
Las 5 noticias clave del día para los inversores,2024-05-09,The 5 Key News of the Day for Investors
El CEO de Sabadell suspende el 'road show',2024-05-09,Sabadell CEO Suspends 'Road Show'
El presidente de BBVA asegura que hay accionistas relevantes de Sabadell interesados en acudir a la opa,2024-05-09,BBVA’s president assures that there are relevant shareholders of Sabadell interested in going to the Opa
"Mazón: ""La OPA sobre Sabadell destruye valor, trabajo, territorio y competencia""",2024-05-09,"Mazón: ""The OPA on Sabadell destroys value, work, territory and competition"""
"Cuerpo advierte a BBVA de que ""el Gobierno tiene la última palabra"" en la opa sobre Sabadell",2024-05-09,"Body warns BBVA that ""the government has the last word"" in the opa about Sabadell"
La banca descarta el riesgo de una excesiva concentración en el sector,2024-05-09,Banking discards the risk of excessive concentration in the sector
Qué puede hacer Sabadell para defenderse de la opa hostil lanzada por BBVA,2024-05-09,What Sabadell can do to defend himself against the hostile opa launched by BBVA
"Garamendi pide al Gobierno que no interfiera en la opa y ""respete las decisiones privadas""",2024-05-09,"Garamendi asks the government not to interfere in the opa and ""respect private decisions"""
"El Gobierno rechaza la opa de BBVA por sus ""efectos lesivos"" en la banca",2024-05-09,"The government rejects BBVA's opa for its ""lesive effects"" on banking"
BBVA tira de testosterona,2024-05-09,BBVA Testosterone Strip
Qué esperan los analistas tras la oferta hostil de BBVA sobre Sabadell,2024-05-09,What analysts expect after BBVA’s hostile offer about Sabadell
"El Ibex, agitado por los resultados y por la opa a Sabadell",2024-05-09,"The Ibex, agitated by the results and the opa to Sabadell"
"La Primera de Expansión sobre la opa hostil de BBVA, Telefónica, el Rey en el V Foro Internacional Expansión y Brufau",2024-05-09,"The First Expansion on the Hostile Opa of BBVA, Telefónica, the King at the 5th International Expansion Forum and Brufau"
BBVA lanza una opa sobre Sabadell,2024-05-09,BBVA launches an opa on Sabadell
"BBVA y Sabadell comparten 70 accionistas, cruciales en una fusión",2024-05-09,"BBVA and Sabadell share 70 shareholders, crucial in a merger"
Sabadell aspira a ganar 1.500 millones este año y el que viene,2024-05-09,Sabadell aspires to earn 1.5 billion this year and next
Valores del Ibex que suben más del 10% y tienen margen para otro 10%,2024-05-09,Values of the Ibex that rise more than 10% and have margin for another 10%
"Sabadell hace público que BBVA no subirá la oferta y cae un 4,3% en Bolsa",2024-05-09,Sabadell makes it public that BBVA will not raise the offer and falls 4.3% on the Stock Exchange
"De Cos: ""Una excesiva concentración crea bancos demasiado grandes para caer""",2024-05-08,"De Cos: ""An excessive concentration creates banks too large to fall"""
"El Ibex, al filo de los máximos del año en una sesión marcada por los resultados",2024-05-08,"The Ibex, at the edge of the maximum of the year in a session marked by the results"
Las 5 noticias clave del día para el inversor,2024-05-08,The 5 Key News of the Day for the Investor
BBVA-Sabadell y la falacia del megabanco,2024-05-08,BBVA-Sabadell and the fallacy of the megabank
"BBVA dice que ""no tiene ningún espacio"" para mejorar la oferta por Sabadell",2024-05-08,"BBVA says it ""does not have any space"" to improve the offer by Sabadell"
"La Primera de Expansión sobre BBVA, Sabadell, Ferrovial, Naturgy, Huawei y TikTok",2024-05-08,"The First Expansion on BBVA, Sabadell, Ferrovial, Naturgy, Huawei and TikTok"
Los inversores esperan que BBVA eleve hasta un 15% la oferta por Sabadell,2024-05-08,Investors expect BBVA to raise Sabadell’s bid by up to 15%
BBVA y Sabadell habrían iniciado conversaciones a mediados de abril,2024-05-08,BBVA and Sabadell would have started talks in mid-April
El 'relato' de Sabadell se basa en el corto plazo,2024-05-08,Sabadell's 'relationship' is based on the short term
El Ibex recupera los 11.000 puntos aupado por BBVA y Santander,2024-05-07,"The Ibex recovers the 11,000 points upped by BBVA and Santander"
Las 5 noticias clave del día para el inversor,2024-05-07,The 5 Key News of the Day for the Investor
"BBVA puede mejorar su oferta por Sabadell añadiendo dinero en efectivo, según Citi",2024-05-07,"BBVA can improve its offer by Sabadell by adding cash, according to Citi"
Cambio de rumbo en el Ibex: BBVA respira y Sabadell pincha,2024-05-07,Change of course in the Ibex: BBVA breathes and Sabadell clicks
Sabadell enfría la patata,2024-05-07,Sabadell cools the potato
"La Primera de Expansión sobre Sabadell y BBVA, Repsol, Silicon Valley, Boeing y Gaza",2024-05-07,"The First Expansion on Sabadell and BBVA, Repsol, Silicon Valley, Boeing and Gaza"
Sabadell deja a BBVA ante una encrucijada,2024-05-07,Sabadell leaves BBVA at a crossroads
Oliu lidera el comité de resistencia,2024-05-07,Oliu leads the resistance committee
Un nuevo escenario para los inversores de BBVA y Sabadell,2024-05-07,A new scenario for BBVA and Sabadell investors
Sabadell rechaza la fusión con BBVA y luchará por seguir en solitario,2024-05-07,Sabadell rejects the merger with BBVA and will fight to remain alone
Cuatro 'blue chip' europeos ganan más de un 25% en el año,2024-05-07,Four European 'blue chip' earns more than 25% in the year
Generalitat y Foment respaldan la decisión de Banco Sabadell de continuar en solitario,2024-05-06,Generalitat and Foment support Banco Sabadell’s decision to continue solo
"BBVA ""lamenta"" que Sabadell rechace su ""atractiva"" oferta",2024-05-06,"BBVA ""deplores"" Sabadell rejecting its ""attractive"" offer"
El Ibex recupera los 10.900 puntos liderado por Indra y Grifols,2024-05-06,"The Ibex recovers the 10,900 points led by Indra and Grifols"
Las 5 noticias clave del día para el inversor,2024-05-06,The 5 Key News of the Day for the Investor
"La Primera de Expansión sobre Applus, la banca de inversión en España, Sabadell, BBVA y ACS",2024-05-06,"The First Expansion on Applus, Investment Banking in Spain, Sabadell, BBVA and ACS"
Las razones de Oliu para acceder a la venta de Sabadell,2024-05-06,Oliu’s reasons for accessing the sale of Sabadell
"JPMorgan, Goldman Sachs y Citi se disputan el resurgir del M&A en España",2024-05-06,"JPMorgan, Goldman Sachs and Citi are contesting the re-emergence of M&A in Spain"
Los consejeros coordinadores de los grupos del Ibex ganan peso,2024-05-06,Ibex group coordinator advisors gain weight
Sabadell prepara para hoy el consejo donde estudiará la fusión,2024-05-06,Sabadell prepares for today the council where he will study the merger
"Ha llegado mayo, ¿vendemos?",2024-05-04,"May has arrived, shall we sell?"
"Banco Sabadell, proclive a iniciar conversaciones con BBVA",2024-05-04,"Banco Sabadell, intends to start conversations with BBVA"
BBVA y Sabadell crearían un gigante con cuotas de mercado de hasta el 30%,2024-05-04,BBVA and Sabadell would create a giant with market shares of up to 30%
Los accionistas de Sabadell se embolsan 802 millones en tres días,2024-05-04,Sabadell’s shareholders pocket 802 million in three days
"El Ibex cae arrastrado por la banca y aumenta la pérdida semanal al 2,7%",2024-05-03,The Ibex is dragged by the bank and increases the weekly loss to 2.7%
"BBVA, Blackrock, Santander, Sabadell y Botin: las mejores imágenes de la semana",2024-05-03,"BBVA, Blackrock, Santander, Sabadell and Botin: the best images of the week"
Las 5 noticias clave del día para el inversor,2024-05-03,The 5 Key News of the Day for the Investor
"La Primera de Expansión sobre Sabadell y BBVA, Puig y los problemas de las renovables",2024-05-03,"The First Expansion on Sabadell and BBVA, Puig and the Problems of Renewables"
"BBVA podrá lanzar una opa hostil a Sabadell, que no tiene núcleo duro",2024-05-03,"BBVA will be able to launch a hostile opa to Sabadell, which has no hard core"
Por qué BBVA vuelve a mirar a España y hace oferta por Sabadell,2024-05-03,Why BBVA looks back at Spain and offers to Sabadell
